Borrower_ID,Age,Annual_Income,Loan_Balance,Credit_Score,Monthly_Payment_Amount,Amortization_Ratio,Engagement_Recency,Delinquency_Status,Region,Primary_Channel,Loan_Type,SAVE_Tranche
WLM1LXV,22,41370,97259,574,206,95.7,Never,Current,MW,IVR,Consolidation,T5
DEPKFO6,63,55424,76603,607,308,95.5,>1yr,60-89,MW,Agent,Consolidation,T4
KB1PT0Q,66,67919,50125,557,221,98.0,>1yr,Current,S,Mobile,Federal,T6
0T5CTKV,58,73010,18368,784,124,101.5,Never,1-29,NE,Agent,Consolidation,T5
AJHVR63,36,77815,56721,547,184,106.7,<30d,60-89,MW,Mobile,Federal,T8
S61UQF1,22,40714,25543,697,283,111.1,>1yr,30-59,NE,Agent,Consolidation,T2
QYIYJ03,29,62803,34395,594,16,108.8,Never,60-89,MW,IVR,Consolidation,T3
RR09IRY,69,45282,97506,619,0,100.5,Never,1-29,MW,Web,Consolidation,T5
IIFE7XO,60,48538,57903,636,492,104.0,<30d,90+,S,Agent,Consolidation,T4
AYZR88K,46,54701,95545,697,201,107.2,Never,90+,MW,Agent,Federal,T5
QJVAEHY,63,63735,36903,611,137,102.4,<30d,Current,W,Web,Federal,T8
VSBC6SN,31,70312,24627,699,207,114.7,<30d,60-89,NE,Mobile,Federal,T3
TQCM32B,27,58569,64876,624,101,103.3,1-12mo,1-29,NE,Agent,Federal,T7
IZYMKSN,31,15000,68172,690,230,112.6,1-12mo,90+,S,IVR,Consolidation,T3
U6V0Q51,42,74642,23127,747,179,106.3,<30d,60-89,W,Web,Consolidation,T8
BUCLL9P,23,19198,55095,531,253,101.2,<30d,Current,NE,Web,Consolidation,T4
S266SKY,60,43901,91814,741,17,108.7,<30d,30-59,MW,Mobile,Consolidation,T3
UTI3MMY,28,69330,42981,573,249,101.3,>1yr,Current,S,Agent,Federal,T6
HF7C2T9,54,55583,70838,652,271,96.2,1-12mo,Current,MW,Mobile,Consolidation,T4
3JLLUDJ,44,61479,33744,591,381,110.0,1-12mo,30-59,W,Agent,Federal,T2
G16RXJ0,54,107524,22685,716,0,114.6,<30d,30-59,NE,Mobile,Consolidation,T3
9DO39MF,43,34774,27777,775,388,110.0,<30d,30-59,S,Mobile,Federal,T2
JBDTI9K,38,107763,73856,731,184,95.5,>1yr,Current,MW,IVR,Consolidation,T6
QUVQDLM,55,58302,7694,704,73,107.9,1-12mo,60-89,NE,IVR,Consolidation,T7
JXBQZG7,24,64964,5024,651,205,107.3,>1yr,90+,W,Mobile,Consolidation,T6
7RJB413,56,42478,58136,707,153,107.4,1-12mo,60-89,NE,IVR,Consolidation,T7
Z52GIO8,66,47888,44119,702,0,110.1,>1yr,90+,W,Agent,Federal,T3
LJ1974C,34,103449,84029,705,197,98.4,<30d,Current,W,Web,Consolidation,T8
XNLLA4S,27,47788,6686,673,312,110.0,>1yr,30-59,NE,Web,Federal,T2
97UDYWD,28,47247,47849,689,0,95.1,1-12mo,1-29,MW,IVR,Federal,T7
CQXYH1Z,52,52290,1815,717,152,100.4,1-12mo,Current,NE,Agent,Consolidation,T7
WNME7PU,48,79588,38210,827,265,101.6,<30d,Current,W,Mobile,Federal,T4
55XE5O7,55,29936,50902,758,366,107.2,<30d,90+,W,Agent,Consolidation,T2
GRZRJFD,41,69207,20251,718,185,106.3,>1yr,60-89,NE,Agent,Consolidation,T6
KPJD9JA,44,44405,28126,652,483,98.5,<30d,60-89,S,Agent,Consolidation,T4
F8ABLG2,61,74647,70829,643,233,98.9,1-12mo,Current,S,IVR,Federal,T7
OSVQLZQ,28,53267,27932,735,133,109.4,>1yr,30-59,W,IVR,Consolidation,T3
UN7XYR4,46,57910,25298,749,6,113.3,>1yr,30-59,S,Agent,Federal,T3
L73410G,29,42782,27082,659,159,105.1,Never,30-59,W,IVR,Consolidation,T5
75045ZX,42,79968,81141,694,158,103.6,1-12mo,Current,W,Agent,Consolidation,T7
H9KXHZK,37,63389,26157,655,30,96.8,>1yr,Current,NE,Mobile,Consolidation,T6
07JXGY5,60,71977,39609,669,358,96.6,<30d,30-59,S,Web,Federal,T4
462MGW0,25,48381,61837,619,507,95.1,<30d,30-59,S,Mobile,Federal,T4
QGAKBJW,55,34273,32362,558,222,100.6,<30d,Current,S,Mobile,Federal,T8
OKGA44G,54,70928,2247,736,0,103.5,>1yr,Current,MW,Web,Consolidation,T6
40R3QW7,65,63970,48298,649,284,105.6,Never,90+,MW,Mobile,Consolidation,T2
ZK5J4HO,60,39689,60442,677,373,108.8,Never,90+,W,Web,Consolidation,T1
C5QYYLY,55,36536,58318,635,347,114.5,Never,60-89,NE,Agent,Consolidation,T2
CH8UHYV,62,74608,54620,804,196,97.4,<30d,Current,NE,Mobile,Consolidation,T8
U1JC5UH,37,79011,34422,685,48,108.3,>1yr,60-89,MW,Mobile,Federal,T3
R67ZWGI,54,75741,45468,795,131,108.7,>1yr,30-59,MW,Mobile,Federal,T3
3W7856X,57,58653,66877,680,266,100.3,<30d,1-29,MW,IVR,Consolidation,T4
RKZICYW,46,53502,38896,662,255,99.9,Never,Current,MW,Web,Federal,T4
1ZYDDN9,32,27604,23212,665,274,105.1,>1yr,60-89,NE,IVR,Federal,T2
MGN8T1N,42,28728,67422,699,72,100.8,1-12mo,Current,S,IVR,Consolidation,T7
Y0CE747,27,45709,28144,680,346,114.8,1-12mo,30-59,MW,Agent,Federal,T2
Z3T48RI,57,95935,68948,693,350,104.6,<30d,90+,NE,Web,Federal,T4
E0FDDT3,62,33769,1427,577,9,108.8,Never,30-59,S,Web,Federal,T3
8IU364Z,26,66100,13267,597,291,99.5,<30d,Current,W,Web,Consolidation,T4
IJKPCZZ,46,36684,47898,738,313,104.7,1-12mo,30-59,NE,IVR,Federal,T4
NPQLWOK,35,36242,76004,727,44,103.1,Never,Current,S,Agent,Federal,T5
0E7IC7G,37,34499,46093,629,26,113.2,Never,30-59,MW,Mobile,Consolidation,T3
E4QLX7O,35,50524,20945,754,139,97.6,1-12mo,Current,S,Web,Consolidation,T7
3CT8548,47,72697,37109,656,432,112.1,1-12mo,60-89,S,Agent,Federal,T2
D6D7M19,39,37982,93764,707,0,109.0,1-12mo,30-59,MW,IVR,Consolidation,T3
PPFW45E,32,24109,25452,671,367,101.4,<30d,30-59,NE,IVR,Federal,T4
4UE6HOP,50,63864,17794,778,477,104.4,Never,30-59,S,Web,Federal,T4
9JD6S7Z,58,45789,60276,742,185,114.6,<30d,30-59,NE,Agent,Consolidation,T3
9AB3JBG,48,70871,46439,685,123,97.7,1-12mo,Current,MW,Agent,Federal,T7
7JZ33RC,31,70871,30915,647,248,106.0,1-12mo,60-89,W,Agent,Consolidation,T7
Z9I296Q,29,62487,33204,703,240,106.3,>1yr,30-59,S,Agent,Federal,T6
7PEAKKA,51,41319,69060,779,160,111.4,1-12mo,30-59,NE,IVR,Consolidation,T3
PFYKFP9,62,58991,54779,788,385,110.3,<30d,30-59,MW,Web,Federal,T2
G1MT113,39,46567,58244,682,411,98.1,<30d,30-59,NE,IVR,Federal,T4
2AKTTCB,63,53254,43438,621,323,99.7,1-12mo,30-59,S,Web,Federal,T4
CAV5TSO,35,15000,57133,677,161,109.2,>1yr,30-59,MW,IVR,Consolidation,T3
7NKR9P1,65,65017,52794,585,174,96.3,>1yr,Current,MW,IVR,Consolidation,T6
7QS9T35,38,53793,60073,650,0,112.9,>1yr,60-89,W,Mobile,Federal,T3
RVK3V1N,63,50491,55820,599,192,95.1,1-12mo,Current,MW,Web,Consolidation,T7
EN5FC6O,68,22477,34669,648,241,101.5,<30d,Current,NE,Mobile,Federal,T8
UVE2VEZ,40,47608,43651,705,508,98.7,<30d,90+,W,Web,Consolidation,T4
Y21X4JT,52,71494,81602,701,106,96.0,<30d,Current,W,IVR,Consolidation,T8
TL5T64K,41,51022,70010,689,263,110.4,1-12mo,30-59,S,Agent,Consolidation,T2
OIT7843,59,26739,65432,662,34,97.4,>1yr,Current,S,Agent,Consolidation,T6
SAGHYQ4,55,46255,68871,635,344,99.2,1-12mo,60-89,S,Agent,Consolidation,T4
WOUMCPS,26,48336,61234,763,69,100.3,>1yr,Current,W,Agent,Consolidation,T6
L9UJMRG,29,46075,54138,806,234,105.9,<30d,60-89,MW,Agent,Federal,T8
RPOA0WK,54,73685,31002,721,49,99.9,>1yr,Current,S,Web,Consolidation,T6
9E2L08J,24,64670,59490,734,393,114.4,1-12mo,60-89,NE,Agent,Consolidation,T2
391WQ1B,24,58090,8971,562,249,112.7,>1yr,30-59,NE,IVR,Consolidation,T3
Z9PTOVQ,28,71269,33377,688,0,99.9,<30d,1-29,W,IVR,Federal,T8
F6AKEOV,37,32325,53784,559,91,113.0,<30d,60-89,MW,Web,Consolidation,T3
7GO41E9,26,34193,38116,675,0,108.1,Never,60-89,S,Mobile,Federal,T3
3MKJIY0,49,40872,93886,669,0,95.9,Never,Current,S,Web,Federal,T5
GG6XK1R,60,37871,16131,635,54,100.9,>1yr,Current,MW,Agent,Consolidation,T6
LOFWDNW,32,38812,20855,726,132,104.2,>1yr,Current,NE,IVR,Consolidation,T6
9IB49SX,39,36147,18217,603,111,107.2,>1yr,90+,NE,Agent,Consolidation,T6
49ESCEH,25,64896,25867,722,164,98.1,1-12mo,Current,S,Mobile,Consolidation,T7
4FR5ZUI,31,66783,69473,797,172,111.8,Never,90+,W,Agent,Federal,T3
VLHHKT4,32,67118,30316,636,0,98.5,Never,Current,W,Web,Consolidation,T5
G2MQ4RR,44,67162,21122,660,111,113.6,Never,60-89,S,IVR,Federal,T3
IQIUZAJ,66,37052,20296,657,248,113.7,<30d,30-59,NE,IVR,Federal,T3
SCESTHV,27,39589,55188,762,381,99.7,<30d,60-89,W,IVR,Federal,T4
732S9C5,26,57044,49596,614,0,108.1,>1yr,30-59,S,Web,Federal,T3
K9UZIZ4,50,50609,32006,723,45,101.0,<30d,Current,MW,Agent,Consolidation,T8
F17C8VN,48,36355,40504,727,352,96.0,Never,30-59,MW,IVR,Federal,T4
EZDK748,45,55517,28109,714,410,96.9,>1yr,60-89,NE,Mobile,Consolidation,T4
D0Z68WV,44,29900,15046,735,83,111.6,Never,30-59,W,Agent,Federal,T3
9XSDOYG,67,48817,39374,632,0,105.2,<30d,30-59,S,Mobile,Federal,T8
A5OLA88,57,96952,34075,765,0,100.1,1-12mo,Current,S,Web,Federal,T7
RUB9W5E,33,29888,11792,727,0,107.0,1-12mo,30-59,W,Agent,Federal,T7
SDQ7U2V,22,61057,59283,739,0,109.2,>1yr,30-59,S,Mobile,Federal,T3
QHOP8FH,37,59823,57880,626,58,101.5,1-12mo,1-29,MW,Agent,Consolidation,T7
76RGTNS,56,40522,67125,700,46,96.2,1-12mo,Current,NE,IVR,Federal,T7
LGX37C7,48,89273,56598,719,27,110.8,Never,30-59,W,Web,Federal,T3
1PWHDQ8,70,27481,14549,621,211,104.2,Never,Current,W,Mobile,Federal,T5
41765GM,65,87339,28029,599,0,106.1,<30d,30-59,W,Web,Consolidation,T8
AU7Q391,47,48726,72860,834,439,103.2,>1yr,30-59,NE,Web,Federal,T4
K86TJJN,25,68528,45751,711,202,98.7,Never,1-29,NE,Agent,Federal,T5
MM7ZI8B,63,50144,47059,637,15,95.8,>1yr,Current,W,IVR,Consolidation,T6
E0TPBP0,41,35545,27198,691,140,101.6,>1yr,Current,S,Web,Consolidation,T6
PK4EDHD,65,31304,91,700,54,111.4,Never,30-59,NE,IVR,Federal,T3
6NLY8VI,56,61535,71601,594,90,107.6,Never,90+,W,Web,Federal,T5
WD6HOCQ,49,70210,80194,790,230,108.6,<30d,30-59,W,Mobile,Consolidation,T3
1JW0LLP,26,64559,32862,637,131,104.5,>1yr,Current,S,IVR,Federal,T6
GXF7EAV,57,66277,75917,755,332,104.3,Never,60-89,S,Web,Consolidation,T4
WPF50UB,62,54170,31573,680,288,103.5,Never,1-29,S,Mobile,Consolidation,T4
MET4NJ3,31,41356,16725,592,519,98.6,1-12mo,90+,MW,Agent,Consolidation,T4
4CW6O2P,64,57211,45562,716,95,98.6,Never,Current,S,Mobile,Consolidation,T5
5KVFOLC,60,51154,91805,678,93,113.1,1-12mo,30-59,S,Mobile,Federal,T3
12440J5,35,58331,45692,667,175,108.3,1-12mo,90+,W,IVR,Federal,T3
7MQ3GCF,29,28724,62816,657,190,107.5,<30d,30-59,MW,IVR,Federal,T8
HWTTQF3,27,69118,25342,745,261,101.6,1-12mo,Current,MW,Mobile,Federal,T4
8IYFJKO,50,69468,65383,639,36,114.9,<30d,90+,MW,Mobile,Federal,T3
45VYHHS,69,52136,82516,658,242,108.1,<30d,90+,S,Agent,Federal,T3
87Q7VJ3,49,37221,0,681,136,106.6,1-12mo,30-59,NE,IVR,Federal,T7
H7MRZUC,66,55625,0,650,211,104.2,Never,Current,MW,Mobile,Consolidation,T5
DW95L50,58,68771,68215,724,192,95.7,>1yr,1-29,W,Web,Federal,T6
M71G4D2,27,69989,22278,564,85,95.1,<30d,Current,MW,Mobile,Federal,T8
LZLW4D8,52,60163,55986,591,61,97.6,Never,Current,S,Mobile,Federal,T5
PCB910I,24,49274,62929,738,163,104.7,>1yr,Current,NE,Agent,Consolidation,T6
9CRG77E,61,80675,34053,643,70,99.7,1-12mo,Current,S,IVR,Federal,T7
10UJZUT,41,87411,49434,672,154,106.0,Never,30-59,MW,IVR,Consolidation,T5
VV73A2P,49,54834,20331,692,272,99.3,>1yr,Current,MW,IVR,Consolidation,T4
9AKO9MK,60,41688,39100,660,85,112.9,>1yr,30-59,NE,Web,Federal,T3
JX10J9D,42,64128,94265,755,192,110.5,>1yr,60-89,S,Agent,Consolidation,T3
SX3FZFD,55,61112,71777,713,106,101.2,<30d,Current,W,Agent,Federal,T8
066LE98,46,77270,48807,670,129,112.5,1-12mo,30-59,MW,IVR,Consolidation,T3
0X8EQT0,49,35686,46659,754,302,111.4,<30d,30-59,W,Agent,Consolidation,T2
Z3QOW0K,53,65054,0,667,34,98.9,>1yr,Current,S,Web,Federal,T6
ZJ66538,43,31214,11970,692,311,99.0,<30d,60-89,S,IVR,Consolidation,T4
H0OJOSA,44,15000,20358,846,241,95.8,>1yr,1-29,MW,Agent,Consolidation,T6
KHG0VWL,57,69957,25518,611,131,104.5,Never,Current,W,IVR,Federal,T5
IDJY0QT,25,91032,43240,850,48,111.8,1-12mo,30-59,MW,IVR,Federal,T3
80YH5AO,63,51247,41344,649,105,97.3,>1yr,1-29,NE,Agent,Consolidation,T6
6XA06MA,25,47466,51231,711,208,96.8,>1yr,1-29,NE,Web,Consolidation,T6
O4U2JM9,62,76763,33944,803,41,112.3,>1yr,90+,MW,Agent,Federal,T3
SKXGKJK,45,56974,67797,578,408,106.8,1-12mo,30-59,W,IVR,Federal,T2
QBYKFCK,28,34310,56354,580,0,104.3,1-12mo,1-29,MW,IVR,Consolidation,T7
22SUOQ5,22,36458,8616,568,190,102.0,<30d,Current,W,Web,Federal,T8
U1NPY41,36,53818,63261,708,33,105.5,1-12mo,30-59,MW,Agent,Federal,T7
5AZOQLQ,50,67624,50955,651,261,108.6,1-12mo,30-59,NE,Web,Consolidation,T2
PF2N9I7,35,82503,67381,673,106,107.0,>1yr,30-59,S,Web,Consolidation,T6
84LPTDY,44,87159,29226,652,0,111.9,Never,30-59,W,Mobile,Consolidation,T3
5MZ7OKC,26,54435,49623,630,244,96.5,1-12mo,1-29,S,Web,Federal,T7
MHOAHUK,54,61228,45016,697,365,103.0,<30d,60-89,NE,IVR,Federal,T4
N743WPN,48,67778,58632,753,54,101.8,>1yr,1-29,S,Agent,Federal,T6
8H8DW9N,48,42550,35887,632,191,111.8,>1yr,30-59,MW,Mobile,Consolidation,T3
QX5P2U2,31,61592,25658,656,212,113.8,<30d,90+,MW,Agent,Federal,T3
5616B7X,57,68975,70158,681,44,96.5,Never,Current,MW,Web,Consolidation,T5
6V3GCEB,27,76045,15821,653,280,107.5,<30d,60-89,NE,Mobile,Consolidation,T2
61JA6AE,32,84834,10401,737,185,102.2,<30d,Current,MW,Mobile,Federal,T8
23TDNA9,46,63777,58305,596,55,103.2,>1yr,Current,NE,Mobile,Federal,T6
7YH0CGP,69,44400,35009,668,256,107.7,Never,30-59,W,Mobile,Federal,T2
43JKZXY,54,62402,41448,769,106,98.0,1-12mo,Current,MW,Agent,Consolidation,T7
63URMWR,36,114791,30386,636,468,96.5,<30d,60-89,W,IVR,Consolidation,T4
S725OBI,41,24843,85162,701,310,105.7,1-12mo,30-59,W,IVR,Consolidation,T2
OYUCOC1,68,49177,38169,654,0,107.8,1-12mo,30-59,S,Web,Federal,T7
3ADVTZ3,24,58958,60402,774,70,98.9,Never,Current,MW,IVR,Consolidation,T5
SY21SLF,65,76339,93322,688,245,108.2,<30d,30-59,MW,Mobile,Consolidation,T3
7763IIQ,46,31540,97396,642,197,108.5,>1yr,60-89,NE,Agent,Federal,T3
41BN428,22,29798,75164,791,206,105.8,>1yr,60-89,NE,Mobile,Consolidation,T6
PVR4XBX,31,61523,48739,742,249,109.0,<30d,60-89,W,Web,Federal,T3
DINCJM0,36,105382,38577,658,57,101.0,>1yr,Current,MW,Web,Consolidation,T6
AIAR2I6,37,15000,23571,714,233,100.5,1-12mo,Current,MW,IVR,Federal,T7
630QSIY,29,70624,29162,595,240,107.6,1-12mo,30-59,W,Agent,Consolidation,T7
X17BOV1,65,68671,36565,667,344,112.9,Never,30-59,W,Mobile,Consolidation,T2
JVA679N,64,86131,59661,672,101,104.2,1-12mo,Current,W,Agent,Consolidation,T7
FUNVHDY,57,72969,49919,584,59,95.4,<30d,Current,W,Agent,Federal,T8
J4TWEB7,27,59197,49387,689,152,98.0,Never,1-29,NE,Agent,Federal,T5
NOACYRA,68,34708,52568,713,64,106.3,1-12mo,90+,W,Mobile,Consolidation,T7
XZTEWJP,65,62458,40227,682,329,110.6,Never,30-59,W,Agent,Federal,T2
0P0E3K3,42,59881,16686,575,0,104.7,>1yr,Current,MW,Web,Consolidation,T6
0ZLTAW3,32,53891,33759,647,197,97.2,<30d,1-29,W,IVR,Federal,T8
FTDJMGL,47,37759,43432,646,53,102.6,>1yr,Current,S,IVR,Federal,T6
1CKP4ZJ,36,37819,74387,654,388,110.3,1-12mo,30-59,W,Agent,Federal,T2
1GLTGG2,42,42950,55850,679,317,97.8,>1yr,30-59,W,Web,Consolidation,T4
S233GVU,24,47447,7193,647,583,114.3,1-12mo,60-89,MW,IVR,Federal,T2
LLNMC0N,27,65392,47176,640,332,111.3,Never,90+,W,Web,Federal,T2
I6DKXLQ,44,28098,72974,783,74,106.9,>1yr,60-89,W,Agent,Consolidation,T6
JXP91M6,31,48479,91477,666,174,114.5,>1yr,60-89,W,Agent,Federal,T3
4TUDBM9,40,84513,15693,761,413,110.8,Never,60-89,S,IVR,Consolidation,T1
W2B1QDF,65,71019,50110,684,138,105.0,1-12mo,Current,MW,Web,Consolidation,T7
MK3R8C5,30,70793,0,587,161,97.6,1-12mo,Current,W,Mobile,Consolidation,T7
LOI2EXQ,39,51232,62101,655,388,104.1,>1yr,60-89,NE,IVR,Federal,T4
Y3ES9MT,32,68001,87426,693,462,114.6,>1yr,60-89,W,Agent,Consolidation,T1
L969QZC,46,65334,51797,790,138,113.4,1-12mo,60-89,W,IVR,Federal,T3
1K5R8S4,68,26766,26773,563,266,102.1,>1yr,Current,MW,Mobile,Consolidation,T4
SSL5Q6M,44,86800,80408,671,229,114.9,<30d,30-59,NE,IVR,Consolidation,T3
WSMLH0W,64,22873,47959,689,42,112.6,1-12mo,90+,NE,IVR,Consolidation,T3
SCCUBGB,51,31441,13758,683,79,109.4,>1yr,60-89,NE,Web,Federal,T3
4W010B3,62,53548,49275,676,76,113.4,>1yr,30-59,NE,Agent,Federal,T3
NYDKWDN,23,56931,39320,638,264,114.4,<30d,60-89,S,Web,Consolidation,T2
3DLC6LZ,70,64396,58521,736,410,102.3,Never,90+,S,Agent,Federal,T4
DJ28PMS,60,70660,30442,726,54,112.6,<30d,30-59,NE,Mobile,Consolidation,T3
CQ0V57D,44,55577,47172,745,130,96.1,<30d,Current,MW,Web,Consolidation,T8
1EWHMQE,25,61905,42612,586,0,110.6,<30d,90+,NE,IVR,Federal,T3
3D5ALHH,53,15000,21302,645,425,114.8,<30d,30-59,NE,Mobile,Consolidation,T2
GH16F6B,59,28426,37614,686,204,106.6,<30d,60-89,NE,Agent,Federal,T8
W09ZA3H,56,69952,47147,699,238,97.9,<30d,Current,W,IVR,Consolidation,T8
XB0KI6V,30,69648,59268,721,244,99.5,>1yr,Current,NE,Web,Federal,T6
HJSUTQ2,65,78486,55925,750,189,95.6,Never,Current,NE,IVR,Federal,T5
VTS2G74,28,28998,32549,718,42,95.4,Never,Current,NE,Mobile,Federal,T5
CU34OVZ,62,41454,73705,567,243,97.2,>1yr,Current,S,Agent,Consolidation,T6
LOEQ972,69,60584,74320,622,288,113.7,Never,60-89,NE,IVR,Consolidation,T2
9J3QEFQ,33,35005,42044,674,51,111.9,>1yr,60-89,NE,IVR,Consolidation,T3
OBPBZIW,42,74580,41441,799,55,109.9,>1yr,30-59,NE,IVR,Federal,T3
PQE9A2B,59,56335,50286,733,42,104.5,1-12mo,Current,MW,Agent,Federal,T7
1UGV36A,48,50745,45644,578,3,100.2,>1yr,Current,MW,Agent,Consolidation,T6
B012L82,43,61800,26386,668,114,108.9,Never,60-89,NE,Mobile,Consolidation,T3
78VQFBK,35,55015,51411,708,0,114.7,Never,30-59,W,Mobile,Consolidation,T3
H1PTBU0,46,25198,61409,635,275,98.9,1-12mo,Current,MW,Web,Federal,T4
MSRRN7M,44,36773,58077,730,41,111.8,>1yr,30-59,W,Agent,Federal,T3
QGDIIPL,54,58951,32581,609,281,96.2,<30d,Current,S,Agent,Federal,T4
49T5EZI,56,34430,27472,687,223,113.5,1-12mo,30-59,MW,Web,Federal,T3
J3GWW7B,56,57989,77602,686,147,106.7,>1yr,30-59,S,IVR,Federal,T6
BN0945G,51,68375,29570,706,1,98.2,Never,Current,NE,Web,Federal,T5
4Z1U2S2,45,36035,20728,716,123,110.4,1-12mo,90+,NE,Agent,Consolidation,T3
07H85VP,30,68923,62015,677,82,96.6,>1yr,Current,NE,Agent,Federal,T6
OU7GMNT,54,69924,72975,744,0,111.3,>1yr,60-89,S,Agent,Consolidation,T3
NVLEST6,57,59139,34873,635,147,103.8,>1yr,1-29,S,Web,Consolidation,T6
OIRXTWU,54,45012,2780,610,0,101.2,Never,Current,MW,Web,Federal,T5
8OD9W80,60,76631,0,759,466,100.7,<30d,60-89,MW,Agent,Federal,T4
L5YOXZ4,44,73591,58633,648,0,97.6,1-12mo,1-29,NE,Agent,Federal,T7
XYIP8KC,55,29059,47955,636,260,99.3,>1yr,1-29,MW,Agent,Consolidation,T4
57608NR,40,32929,86331,776,337,104.3,1-12mo,60-89,MW,Mobile,Consolidation,T4
6TOENLG,45,67343,44621,631,150,106.0,>1yr,90+,S,IVR,Federal,T6
DLDT9GL,66,80216,70989,607,35,100.8,Never,Current,S,Web,Consolidation,T5
9KOYNHN,43,47380,5742,544,0,103.2,>1yr,Current,NE,Agent,Consolidation,T6
VVYH7JV,31,93375,32791,569,219,100.5,<30d,Current,NE,Web,Federal,T8
RCV09U5,46,31150,55475,646,359,100.6,Never,90+,W,Web,Federal,T4
7DV66ZJ,33,52626,41975,691,0,95.1,1-12mo,1-29,W,Agent,Consolidation,T7
CZDHG4T,30,75995,87839,601,247,100.9,>1yr,Current,S,Web,Federal,T6
1XJ0AR9,67,66995,37638,786,202,111.9,Never,60-89,MW,Agent,Federal,T3
7NJ2R7Q,40,24376,17739,611,0,102.7,<30d,Current,MW,Web,Federal,T8
ODNCFYL,29,49041,32136,544,121,101.1,>1yr,Current,S,IVR,Federal,T6
ZBKRI8M,46,85438,98530,786,231,111.0,>1yr,30-59,S,IVR,Consolidation,T3
60IWF31,60,50062,22072,626,61,112.6,>1yr,30-59,W,Mobile,Consolidation,T3
8B1N52A,31,92485,42878,633,0,114.3,1-12mo,60-89,S,IVR,Consolidation,T3
MY7JJA9,24,51772,68251,613,334,112.4,1-12mo,30-59,W,Web,Federal,T2
L0Q0CVK,43,55172,76546,696,226,108.8,>1yr,60-89,W,IVR,Federal,T3
2Y6F7QL,26,61410,17644,707,177,101.1,<30d,Current,NE,Mobile,Consolidation,T8
M6HBBD1,43,44185,76009,639,11,104.1,1-12mo,Current,W,Agent,Federal,T7
48FIWOE,33,51696,28208,637,172,114.0,>1yr,30-59,MW,Web,Consolidation,T3
3SID6BB,31,67438,5374,767,261,102.2,1-12mo,Current,W,Agent,Consolidation,T4
2T692MJ,61,58773,57242,782,53,95.3,Never,Current,NE,Web,Consolidation,T5
P9LMEBA,41,32057,10688,646,275,107.5,<30d,90+,NE,Agent,Federal,T2
JLO1CNM,31,65437,45226,605,17,96.6,1-12mo,Current,S,Web,Consolidation,T7
4MLQ7HJ,38,75361,51735,741,52,102.1,>1yr,Current,NE,Agent,Consolidation,T6
R6XBYD0,45,36310,22778,795,89,96.7,<30d,Current,NE,Agent,Federal,T8
3OJC8TK,49,40023,43919,616,302,105.9,<30d,30-59,MW,Agent,Federal,T2
DZBMUUF,56,16766,88593,620,336,99.1,<30d,30-59,MW,Mobile,Consolidation,T4
EW5K6SN,37,50742,59230,677,194,102.5,>1yr,Current,W,Agent,Federal,T6
4TPACOV,37,55874,105580,726,131,99.5,1-12mo,Current,W,Agent,Federal,T7
ARJUWQD,62,50883,63234,739,393,107.3,1-12mo,30-59,W,IVR,Consolidation,T2
LD5CYXQ,23,57773,86713,615,375,110.5,>1yr,30-59,W,Agent,Consolidation,T1
VJDHBL4,57,39477,29862,802,290,110.5,1-12mo,60-89,W,Web,Federal,T2
2EO2TT7,63,31354,18024,619,0,113.4,>1yr,60-89,W,Web,Consolidation,T3
TML7G4Y,53,18271,61296,619,384,96.5,1-12mo,30-59,NE,Web,Federal,T4
N7XHI3J,28,23817,0,736,153,110.6,1-12mo,60-89,MW,Web,Federal,T3
57V6C2B,60,62823,5341,725,139,97.0,>1yr,Current,W,Web,Consolidation,T6
BYVKWJP,40,45353,68819,706,226,96.9,<30d,Current,W,Web,Federal,T8
QC8NW70,65,58809,13370,720,0,98.0,1-12mo,Current,S,Mobile,Consolidation,T7
LX9F6O1,34,95544,60511,575,262,101.8,>1yr,Current,NE,IVR,Consolidation,T4
23JQRQS,68,107038,0,703,171,99.6,1-12mo,Current,S,Agent,Consolidation,T7
K4NC2MC,63,35220,26998,659,220,114.2,>1yr,60-89,W,IVR,Consolidation,T3
YJFFU8V,60,53375,65175,587,152,109.8,1-12mo,60-89,MW,Agent,Federal,T3
UHIBX3J,56,80595,30936,600,77,109.0,1-12mo,30-59,MW,IVR,Federal,T3
1ROQTG8,24,85487,32431,790,413,101.7,1-12mo,30-59,W,IVR,Consolidation,T4
JCLFQZQ,37,66668,71519,718,173,107.3,<30d,30-59,S,IVR,Federal,T8
P3D6E8S,70,56584,38208,679,0,101.0,>1yr,Current,NE,IVR,Consolidation,T6
QXOM73L,38,51412,83999,492,242,108.4,>1yr,30-59,W,IVR,Federal,T3
Y7VTQTL,59,78846,46311,617,63,95.2,1-12mo,Current,MW,Mobile,Federal,T7
9VBSH9A,30,54112,77450,723,157,102.0,Never,Current,MW,IVR,Federal,T5
YSOUA14,62,97073,37883,620,177,100.3,<30d,Current,MW,Web,Federal,T8
R274TT7,43,114369,58059,682,0,96.1,Never,Current,S,Mobile,Federal,T5
MN8ANTV,38,15000,3065,719,361,96.7,1-12mo,60-89,NE,Agent,Federal,T4
43EOWL0,31,43944,59573,646,119,105.7,>1yr,30-59,MW,Mobile,Federal,T6
180WSE0,70,35450,19604,681,118,103.7,>1yr,Current,S,Mobile,Consolidation,T6
6LQ2HMK,70,58970,60728,627,224,100.5,1-12mo,Current,S,IVR,Consolidation,T7
